productcode,productprice
19RS804,3.73
19RS805,4.18
19RS806,4.97
19RS807,6.12
19RS808,7.68
19RS809,8.79
19RS810,10.19
19RS811,12.39
19RS812,15.59
19RS813,17.79
19RS814,19.49
19RS815,10.69
19RS816,11.49
19RS9001,6.3
19RS9002,6.3
19RS9003,7.26
19RS9004,8.64
19RS9005,9.4
19RS9006,11.08
19RS9007,13.64
19RS9008,17.6
19RS9009,19.58
19RS9010,22.84
19RS9011,26.42
19RS9012,32.26
19RS9013,39.88
19RS9014,43.44
19RS9015,23.92
19RS9016,25.68
19RS9102,6.3
19RS9103,7.26
19RS9104,8.64
19RS9105,9.4
19RS9106,11.08
19RS9107,13.64
19RS9108,17.6
19RS9109,19.58
19RS9110,22.84
19RS9111,26.42
19RS9112,32.26
19RS9113,39.88
19RS9114,43.44
19RS9115,23.92
19RS9116,25.68
19RS9202,6.3
19RS9203,7.26
19RS9204,8.64
19RS9205,9.4
19RS9206,11.08
19RS9207,13.64
19RS9208,17.6
19RS9209,19.58
19RS9210,22.84
19RS9211,26.42
19RS9402,6.3
19RS9403,7.26
19RS9404,8.64
19RS9405,9.4
19RS9406,11.08
19RS9407,13.64
19RS9408,17.6
19RS9409,19.58
19RS9410,22.84
19RS9411,26.42
19RS9412,32.26
19RS9413,39.88
19RS9414,43.44
19RS9415,23.92
19RS9416,25.68
A-BIND1200A,891.35
A-BIND1200B,891.35
A-BIND1200C,891.35
A-BIND1200D,891.35
A-BIND1200E,891.35
A-BIND1200F,891.35
A-BIND1200G,1921.24
A-BIND1200H,891.35
A-BIND1200I,891.35
A-BIND1200J,891.35
A-BIND1200K,891.35
A-BIND1220A,936.37
A-BIND1220E,936.37
A-BIND1220F,936.37
A-BIND1220G,936.37
A-BIND1220H,936.37
A-BIND1220I,936.37
A-BIND1220J,936.37
A-BIND1220K,936.37
A-BIND1220L,2014.68
A-BIND1220M,966.39
A-BIND1220N,919.13
A-BIND1220O,936.37
A-BIND1220P,936.37
A-BIND1220Q,936.37
A-BIND1222A,966.39
A-BIND1222E,948.6
A-BIND1222F,948.6
A-BIND1222G,948.6
A-BIND1222H,948.6
A-BIND1222I,966.39
A-BIND1222J,948.6
A-BIND1222K,966.39
A-BIND1222L,2034.33
A-BIND1222M,948.6
A-BIND1222N,948.6
A-BIND1222O,966.39
A-BIND1222P,966.39
A-BIND1222Q,167.41
A-BIND1800,267
A-BIND1902,199
A-BIND2010,29.85
A-BIND2035,590
A-BIND2105,490
A-BIND2110,490
A-BIND2115,490
A-BIND2120,490
A-BIND2125,490
A-BIND2130,490
A-BIND2135,490
A-BIND2140,490
A-BIND2145,590
A-BIND2150,590
A-BIND2155,590
A-BIND2160,590
A-BIND2170,490
A-BIND2365,870
A-BIND2370,870
A-BIND2375,870
A-BIND2380,870
A-BIND2385,870
A-BIND2390,870
A-BIND2395,870
A-BIND2400,980
A-BIND2410,980
A-BIND2415,980
A-BIND2420,980
A-BIND2425,1130
A-BIND2430,1420
A-BIND2435,980
A-BIND2436,980
A-BIND2437,980
A-BIND2440,870
A-BIND2445,870
A-BIND2460,870
A-BIND2470,980
A-BIND2475,980
A-BIND2480,980
A-BIND2485,980
A-BIND2490,980
A-BIND2495,980
A-BIND2505,870
A-BIND2506,870
A-BIND2507,870
A-BIND2508,870
A-BIND2509,870
A-BIND2511,870
A-BIND2550,980
A-BIND2600A,1250
A-BIND2600B,1250
A-BIND2600C,1250
A-BIND2600D,1250
A-BIND2600E,1250
A-BIND2600F,1250
A-BIND2600G,1250
A-BIND2600H,1850
A-BIND2600I,1850
A-BIND2600J,1850
A-BIND2600K,1490
A-BIND2600L,2250
A-BIND2700A,490
A-BIND2700B,490
A-BIND2700C,490
A-BIND2700D,490
A-BIND2700E,490
A-BIND2700F,490
A-BIND2700G,490
A-BIND2700H,490
A-BIND2700I,590
A-BIND2700J,590
A-BIND2700K,590
A-BIND2700L,590
A-BIND2700M,810
A-BIND2700N,1050
A-BIND4000,185
A-BIND4100,160
A-BIND4105,160
A-BIND4110,160
A-BIND4115,160
A-BIND4120,786
A-BIND4125,786
A-BIND4130,786
A-BIND4135,786
A-BIND4140,786
A-BIND4145,891
A-BIND4150,891
A-BIND4155,891
A-BIND4160,891
A-BIND4165,891
A-BIND4170,891
A-BIND4175,891
A-BIND4180,891
A-BIND4185,891
A-BIND4500,60
A-BIND4510,1345
A-BIND4515,1899
A-BIND4520,1493
A-BIND4525,1899
A-BIND4530,1353
A-BIND4540,1114
A-BIND4550,1493
A-BIND4560,1540
A-BIND4565,1539
A-BIND4575,1633
A-BIND4580,1633
A-BIND4585,1531
A-BIND4590,1127
A-BIND7110,139
A-BIND7115,139
A-BIND9300,8.8
A-BIND9302,10.85
A-BIND9304,51.2
A-BIND9306,328
A-BIND9308,412.8
A-BIND9310,555.2
A-BIND9312,435.2
A-BIND9314,62.4
A-BIND9316,380.8
A-BOARD2000,3.7
A-BOARD2002,6.88
A-BOARD2004,2.99
A-BOARD3000,11.89
A-BOARD3002,18.5
A-BOARD3004,24.49
A-BOARD3006,43.49
A-BOARD3008,186.89
A-BOARD3010,18.5
A-BOARD3012,24.49
A-BOARD3014,18.5
A-BOARD3016,24.49
A-BOARD3018,24.49
A-BOARD3020,43.49
A-BOARD3022,24.49
A-BOARD3024,43.49
A-BOARD3026,24.49
A-BOARD3028,43.49
A-BOARD3030,18.5
A-BOARD3032,18.5
A-BOARD3034,18.5
A-BOARD3036,18.5
A-BOARD3038,24.49
A-BOARD3040,18.5
A-BOARD3042,24.49
A-BOARD3044,43.49
A-BOARD3046,18.5
A-BOARD3048,24.49
A-BOARD3050,43.49
A-BOARD3052,18.5
A-BOARD3054,24.49
A-BOARD3056,43.49
A-BOARD3058,24.49
A-BOARD3060,43.49
A-BOARD3062,186.89
A-BOARD3064,18.5
A-BOARD3066,24.49
A-BOARD3068,43.49
A-BOARD3070,18.59
A-BOARD3072,24.49
A-BOARD3074,43.49
A-BOARD3076,18.5
A-BOARD3078,24.49
A-BOARD3080,43.49
A-BOARD3082,18.5
A-BOARD3084,24.49
A-BOARD3086,43.49
A-BOARD3088,18.5
A-BOARD3090,24.49
A-BOARD3092,43.49
A-BOARD3094,18.5
A-BOARD3096,24.49
A-BOARD3098,43.49
A-BOARD3100,24.49
A-BOARD3102,43.49
A-BOARD3104,186.89
A-BOARD3106,24.49
A-BOARD3108,43.49
A-BOARD3110,186.89
A-BOARD3112,24.49
A-BOARD3114,43.49
A-BOARD3116,186.89
A-BOARD3118,18.5
A-BOARD3120,24.49
A-BOARD3122,43.49
A-BOARD3124,18.5
A-BOARD3126,24.49
A-BOARD3128,43.49
A-BOARD3130,18.5
A-BOARD3132,24.49
A-BOARD3134,43.49
A-BOARD3136,18.5
A-BOARD3138,24.49
A-BOARD3140,43.49
A-BOARD3142,18.5
A-BOARD3144,24.49
A-BOARD3146,43.49
A-BOARD3148,18.5
A-BOARD3150,24.49
A-BOARD3152,43.49
A-BOARD3154,18.5
A-BOARD3156,24.49
A-BOARD3158,43.49
A-BOARD3160,18.5
A-BOARD3162,24.49
A-BOARD3164,43.49
A-BOARD3166,24.49
A-BOARD3168,43.49
A-BOARD3170,186.89
A-BOARD3172,24.49
A-BOARD3174,43.49
A-BOARD3176,186.89
A-BOARD3178,24.49
A-BOARD3180,43.49
A-BOARD3182,186.89
A-BOARD3184,24.49
A-BOARD3186,43.49
A-BOARD3188,186.89
A-BOARD3300,7.5
A-BOARD3302,7.5
A-BOARD3500,14.25
A-BOARD3502,14.25
A-BOARD3504,14.25
A-BOARD3510,7.5
A-BOARD3512,7.5
A-BOARD3514,7.5
A-BOARD3516,7.5
A-BOARD3518,7.5
A-BOARD3520,7.5
A-BOARD3522,7.5
A-BOARD3524,7.5
A-COUNT1030,25
A-COUNT1031,25
A-COUNT1032,25
A-COUNT1033,25
A-COUNT1034,25
A-COUNT1035,33
A-COUNT1036,33
A-COUNT1037,33
A-COUNT1038,33
A-COUNT1039,33
A-COUNT1040,40
A-COUNT1081,50
A-COUNT1082,50
A-COUNT1083,50
A-COUNT1084,50
A-COUNT1085,50
A-COUNT1086,50
A-COUNT1087,50
A-COUNT1100,11.65
A-COUNT1105,18.95
A-COUNT1200,12
A-COUNT1205,12
A-COUNT1210,12
A-COUNT1215,12
A-COUNT1220,15
A-COUNT1225,15
A-COUNT1260,87
A-COUNT1261,87
A-COUNT1262,87
A-COUNT1263,87
A-COUNT1264,87
A-COUNT1265,29
A-COUNT1266,29
A-COUNT1267,29
A-COUNT1268,29
A-COUNT1269,29
A-COUNT1270,159
A-COUNT1271,369
A-COUNT1272,23
A-COUNT1274,35
A-COUNT1275,35
A-COUNT1276,35
A-COUNT1277,35
A-COUNT1278,35
A-COUNT1279,35
A-COUNT1280,130
A-COUNT1281,180
A-COUNT1300,15.95
A-COUNT1302,15.95
A-COUNT1304,15.95
A-COUNT1306,15.95
A-COUNT1308,15.95
A-COUNT1310,15.95
A-COUNT1311-150,10.95
A-COUNT1311-36,2.99
A-COUNT1312,5.5
A-COUNT1314,5.5
A-COUNT1316,5.5
A-COUNT1318,5.5
A-COUNT1332,3.95
A-COUNT1334,58.95
A-COUNT1336,3.95
A-COUNT1338,58.95
A-COUNT1340,3.95
A-COUNT1342,58.95
A-COUNT1344,3.95
A-COUNT1346,58.95
A-COUNT1350,58.95
A-COUNT1352,3.95
A-COUNT1354,58.95
A-COUNT1356,3.95
A-COUNT1358,58.95
A-COUNT1360,3.95
A-COUNT1362,58.95
A-COUNT1364,3.95
A-COUNT1366,58.95
A-COUNT1368,3.95
A-COUNT1370,58.95
A-COUNT1372,3.95
A-COUNT1374,58.95
A-COUNT1376,4.95
A-COUNT1402,46
A-COUNT1405,730
A-COUNT1410,7.99
A-COUNT1415,88
A-COUNT1500,2.75
A-COUNT1505,10.95
A-COUNT1510,27
A-COUNT1512,295
A-COUNT1514,295
A-COUNT1516,295
A-COUNT1518,295
A-COUNT1520,295
A-COUNT1522,295
A-COUNT1524,295
A-COUNT1530,295
A-COUNT1532,295
A-COUNT1534,295
A-COUNT1550,4.85
A-COUNT1552,185
A-COUNT1560,185
A-COUNT1562,185
A-COUNT1564,185
A-COUNT1566,185
A-COUNT1572,185
A-COUNT1576,185
A-COUNT1578,185
A-COUNT1580,185
A-COUNT1582,185
A-COUNT1584,185
A-COUNT1600,110.45
A-COUNT1602,176.88
A-COUNT1604,213.2
A-COUNT1606,50.02
A-COUNT1608,37.63
A-COUNT1610,37.63
A-COUNT1612,55.08
A-COUNT1614,53.97
A-COUNT1616,36.67
A-COUNT1618,36.67
A-COUNT1620,60.07
A-COUNT1622,60.07
A-COUNT1624,88.55
A-COUNT1630,50.52
A-COUNT1635,23.22
A-COUNT1640,7.29
A-COUNT1642,7.02
A-COUNT1644,7.02
A-COUNT1646,7.02
A-COUNT1648,4.93
A-COUNT1650,4.93
A-COUNT1652,4.93
A-COUNT1654,4.93
A-COUNT1660,19.29
A-COUNT4000,59
A-COUNT4004,18.25
A-COUNT4008,18.25
A-COUNT4010,14.99
A-COUNT4012,36.75
A-COUNT4032,13.95
A-COUNT4034,13.95
A-COUNT4036,13.95
A-COUNT4038,13.95
A-COUNT4040,13.95
A-COUNT9600,48.5
A-COUNT9602,48.5
A-COUNT9604,48.5
A-COUNT9608,48.5
A-COUNT9610,48.5
A-COUNT9612,48.5
A-COUNT9614,99
A-COUNT9616,48.5
A-CUTT1000,29.95
A-CUTT1005,33.95
A-CUTT1012,19.95
A-CUTT1022,19.95
A-CUTT1050,15.5
A-CUTT1055,20.95
A-CUTT1060,36.95
A-CUTT1065,8.25
A-CUTT1080,19.95
A-CUTT1085,91
A-CUTT1105,64.95
A-CUTT1110,27.25
A-CUTT1115,30
A-CUTT1120,36.5
A-CUTT1125,41
A-CUTT1130,27.25
A-CUTT1135,30
A-CUTT1140,36.5
A-CUTT1145,41
A-CUTT1150,50
A-CUTT1170,399
A-CUTT1175,30.99
A-CUTT1177,50
A-CUTT1390,269
A-CUTT1395,270
A-CUTT1396,215
A-CUTT1398,21.5
A-CUTT1399,299
A-CUTT1401,17.99
A-CUTT1410,339
A-CUTT1415,335
A-CUTT1430,335
A-CUTT1455,78.25
A-CUTT1515,405
A-CUTT2101,239
A-CUTT2102,149
A-CUTT2105,240
A-CUTT2106,119
A-CUTT2107,61
A-CUTT2108,390
A-CUTT2109,169
A-CUTT2110,79
A-CUTT2111,449
A-CUTT2112,540
A-CUTT2113,119
A-CUTT2114,465
A-CUTT2115,139
A-CUTT2116,540
A-CUTT2117,149
A-CUTT2190,773
A-CUTT2191,773
A-CUTT2192,539
A-CUTT2193,539
A-CUTT2194,719
A-CUTT2195,239
A-CUTT2200,149
A-CUTT2230,109
A-CUTT2240,129
A-CUTT2250,159
A-CUTT2255,159
A-CUTT2260,180
A-CUTT2270,225
A-CUTT2280,369
A-CUTT2290,449
A-CUTT2300,209
A-CUTT3000,11.92
A-CUTT3010,19.95
A-CUTT3020,299
A-CUTT3025,14.99
A-CUTT3026,26.7
A-CUTT3027,299
A-CUTT3028,279
A-CUTT3060,15.89
A-CUTT3061,29.95
A-CUTT4000,255
A-CUTT4010,226
A-CUTT4020,19.95
A-CUTT4030,228
A-CUTT4040,228
A-CUTT4050,241
A-CUTT4060,241
A-CUTT4080,110
A-CUTT4090,110
A-CUTT4100,110
A-CUTT4110,110
A-CUTT4120,138
A-CUTT4130,138
A-CUTT4140,151
A-CUTT4150,165
A-CUTT4160,70
A-CUTT4180,310
A-CUTT4190,330
A-CUTT4200,335
A-CUTT4210,365
A-CUTT4220,280
A-CUTT4230,290
A-CUTT4240,300
A-CUTT4250,310
A-CUTT4260,80.75
A-CUTT4270,23.81
A-CUTT4310,39.95
A-CUTT4322,85
A-CUTT4330,46.2
A-CUTT4340,52.45
A-CUTT4350,39.75
A-CUTT4400,25
A-CUTT4471,70
A-CUTT4472,50
A-CUTT4476,70
A-CUTT4478,115
A-CUTT4480,499.5
A-CUTT4482,531
A-CUTT4484,598.5
A-CUTT4486,733.5
A-CUTT4488,774
A-CUTT4490,598.5
A-CUTT4492,688.5
A-CUTT4494,805.5
A-CUTT4496,945
A-CUTT4498,1143
A-CUTT4500,6.85
A-CUTT4510,7.95
A-CUTT4520,8.15
A-CUTT4530,8.15
A-CUTT4540,8.15
A-CUTT4550,8.15
A-CUTT4560,8.15
A-CUTT4570,8.15
A-CUTT4580,8.15
A-CUTT4590,8.15
A-CUTT4595,9.25
A-CUTT4600,12.5
A-CUTT4605,13.15
A-CUTT4610,11.25
A-CUTT4620,6.6
A-CUTT4630,6
A-CUTT4640,4.99
A-CUTT4650,4.99
A-CUTT4655,6
A-CUTT4660,4.99
A-CUTT4700,4.99
A-CUTT4710,9.99
A-CUTT4715,9.99
A-CUTT4720,9.99
A-CUTT4730,9.99
A-CUTT4740,4.99
A-CUTT4750,18.99
A-CUTT4760,9.99
A-CUTT4770,9.99
A-CUTT4775,18.99
A-CUTT4790,9.99
A-CUTT4792,9.25
A-CUTT4794,7.25
A-CUTT4800,397
A-CUTT4801,155
A-CUTT4803,475
A-CUTT4804,153
A-CUTT4810,499.5
A-CUTT4811,165
A-CUTT4813,643.5
A-CUTT4820,522
A-CUTT4821,180
A-CUTT4823,643.5
A-CUTT4831,190
A-CUTT4833,567
A-CUTT4839,67
A-CUTT4840,531
A-CUTT4843,684
A-CUTT4845,576
A-CUTT4848,738
A-CUTT4850,598.5
A-CUTT4853,796.5
A-CUTT4855,509
A-CUTT4858,789
A-CUTT4860,733.5
A-CUTT4863,927
A-CUTT4865,774
A-CUTT4868,985.5
A-CUTT4870,553.5
A-CUTT4872,639
A-CUTT4874,814.5
A-CUTT4876,873
A-CUTT4878,934.5
A-CUTT4880,1134
A-CUTT4882,1435.5
A-CUTT4884,1503
A-CUTT4886,1777.5
A-CUTT4890,162
A-CUTT4900,205
A-CUTT4910,125
A-CUTT4920,125
A-CUTT4930,130
A-CUTT4940,130
A-CUTT4950,140
A-CUTT4960,145
A-CUTT4970,63
A-CUTT5000,93
A-CUTT5010,93
A-CUTT5015,125
A-CUTT5020,93
A-CUTT5030,93
A-CUTT5035,125
A-CUTT5050,125
A-CUTT5060,125
A-CUTT5070,125
A-CUTT5090,175
A-CUTT5110,175
A-CUTT5120,175
A-CUTT5130,125
A-CUTT5140,345
A-CUTT5150,345
A-CUTT5160,345
A-CUTT5170,345
A-CUTT5400,725
A-CUTT5405,725
A-CUTT5406,1025
A-CUTT5407,1025
A-CUTT5410,1250
A-CUTT5412,1025
A-CUTT5414,1175
A-CUTT5416,1175
A-CUTT5455,199
A-CUTT5456,299
A-CUTT5457,199
A-CUTT5458,99
A-CUTT5459,119
A-CUTT6100,12.58
A-CUTT6102,19.95
A-CUTT6105,9.95
A-CUTT6110,9.5
A-CUTT6115,89.4
A-CUTT6117,17.68
A-CUTT6120,18.95
A-CUTT6122,27.85
A-CUTT6124,13.75
A-CUTT6125,18.95
A-CUTT6142,10.49
A-CUTT6144,13.75
A-CUTT6145,11.65
A-CUTT6146,8.95
A-CUTT7600,14.75
A-CUTT7601,6.75
A-CUTT7605,5.75
A-CUTT7606,6.75
A-CUTT8300,600
A-CUTT8305,600
A-CUTT8310,840
A-CUTT8315,840
A-CUTT8325,990
A-CUTT8326,850
A-CUTT8327,990
A-CUTT8330,388
A-CUTT8335,92
A-CUTT8340,446
A-CUTT8345,129
A-CUTT8400,10
A-CUTT8500,25.75
A-CUTT8505,25.75
A-CUTT8510,25.75
A-CUTT8511,275
A-CUTT8512,275
A-CUTT8516,25.75
A-CUTT8517,36.25
A-CUTT8520,25.75
A-CUTT8528,275
A-CUTT9300,27.95
A-CUTT9302,27.95
A-CUTT9304,26.95
A-CUTT9306,3.79
A-CUTT9310,5.49
A-CUTT9312,4.49
A-CUTT9314,18.49
A-CUTT9316,3.49
A-CUTT9318,4.49
A-CUTT9319,3.49
A-CUTT9322,9.99
A-CUTT9330,28.95
A-CUTT9650,59.95
A-CUTT9651,119
A-CUTT9652,69
A-CUTT9653,7.95
A-CUTT9655,84
A-CUTT9660,8.95
A-CUTT9664,160
A-CUTT9665,19.95
A-CUTT9668,140
A-CUTT9670,199
A-CUTT9672,19.95
A-CUTT9700,92.9
A-CUTT9702,171.45
A-CUTT9704,51.45
A-CUTT9706,71.5
A-CUTT9716,85.75
A-CUTT9718,157.15
A-CUTT9720,57.15
A-CUTT9722,71.45
A-FILE20000,41.97
A-FILE20002,49.7
A-FILE20004,58.53
A-FILE20006,27.95
A-FILE20008,26.51
A-FILE20010,30.92
A-FILE20012,9.33
A-FILE20014,9.5
A-FILE20016,9.88
A-FILE20018,80.07
A-FILE20020,94.98
A-FILE20022,124.79
A-FILE20024,4.69
A-FILE20026,2.26
A-FILE20056,1.38
A-FILE20068,9.88
A-FILE20069,11.6
A-FILE20070,27.06
A-FILE20077,7.9
A-FILE20078,9.39
A-FILE20079,19.88
A-FILE20080,22.64
A-FILE20081,56.88
A-FILE20082,59.08
A-FILE20083,67.92
A-FOLD200,15.25
A-FOLD300,15.25
A-LAM3000,243
A-LAM4100,305
A-LAM5000,24
A-LAM5000A,16
A-LAM6100,841.5
A-LAM7140,25257
A-LAM7142,0
A-LAM7500,6.99
A-LAM9015,450
A-PACK11244,623.5
A-PACK11245,720.5
A-PACK12684,236
A-PACK12686,295
A-PACK12687,243
A-PACK12689,307
A-PACK12690,461
A-PACK12692,461
A-PACK12698,260
A-PACK12701,322
A-PACK12702,482
A-PACK12704,482
A-PACK12708,276
A-PACK12711,339
A-PACK12712,296
A-PACK12714,366
A-PACK12715,313
A-PACK12717,381
A-PACK12720,246
A-PACK12722,308
A-PACK12723,256
A-PACK12725,321
A-PACK12726,471
A-PACK12728,471
A-PACK12734,266
A-PACK12737,327
A-PACK12738,497
A-PACK12740,497
A-PACK12744,287
A-PACK12747,348
A-PACK12748,308
A-PACK12750,369
A-PACK12751,327
A-PACK12753,391
A-PACK12756,275
A-PACK12758,338
A-PACK12759,292
A-PACK12761,351
A-PACK12765,302
A-PACK12768,366
A-PACK12772,327
A-PACK12775,392
A-PACK12776,360
A-PACK12778,423
A-PACK12779,383
A-PACK12781,455
A-PACK1319,178
A-PACK14538,202
A-PACK14539,222
A-PACK14552,613
A-PACK14695,150
A-PACK14714,164
A-PACK15776,519
A-PACK15778,218
A-PACK15780,561
A-PACK15796,4972
A-PACK15801,2120
A-PACK15802,2729
A-PACK15803,367
A-PACK15804,488
A-PACK15806,608
A-PACK15809,4237
A-PADD003,45
A-PADD006,19.99
A-PADD007,15.99
A-PADD008,3
A-PRINT5005,1995
A-PRINT5010,1595
A-PRINT5015,225
A-PRINT5016,225
A-PRINT5017,225
A-PRINT5018,225
A-PRINT5020,495
A-SAFE2000,6.95
A-SAFE2001,4.5
A-SAFE2002,18.95
A-SAFE2003,18.95
A-SAFE2004,4.5
A-SAFE2006,4.25
A-SAFE2008,15.95
A-SAFE2010,12.95
A-SAFE2012,12.95
A-SAFE2014,15
A-SAFE2020,79
A-SAFE2022,24.95
A-SAFE2024,36.5
A-SAFE2026,33.25
A-SAFE2028,19.95
A-SAFE3400,9.95
A-SAFE3402,11.95
A-SAFE5207,102.5
A-SAFE5208,81.95
A-SAFE5232,76.85
A-SAFE5240,86.95
A-SAFE5400,22.99
A-SAFE5401,23.49
A-SAFE5402,33.99
A-SAFE5403,23.49
A-SAFE5404,41.25
A-SAFE5405,22.99
A-SAFE5406,18.75
A-SAFE5407,18.75
A-SAFE5408,65.75
A-SAFE5409,20.49
A-SAFE5410,36
A-SAFE8005,40
A-SHRE1004,119
A-SHRE1005,70
A-SHRE1010,78
A-SHRE1015,93
A-SHRE1020,99
A-SHRE1041,58
A-SHRE1043,89
A-SHRE1046,165
A-SHRE2000,49.5
A-SHRE2002,470.6
A-SHRE2005,74.5
A-SHRE2010,109
A-SHRE2012,105
A-SHRE2015,199
A-SHRE2020,125
A-SHRE2025,110
A-SHRE2026,110
A-SHRE2027,125
A-SHRE2030,125
A-SHRE2040,145
A-SHRE3020,58
A-SHRE3040,55
A-SHRE3050,72
A-SHRE3060,46
A-SHRE3070,9
A-SHRE3071,19.95
A-SHRE3072,46.75
A-SHRE3100,45
A-SHRE3110,149
A-SHRE3190,897
A-SHRE3300,199
A-SHRE4000,59
A-SHRE4020,99
A-SHRE4030,95
A-SHRE4040,135
A-SHRE4050,139
A-SHRE4060,149
A-SHRE4070,249
A-SHRE4080,159
A-SHRE4090,219
A-SHRE4100,219
A-SHRE4110,149
A-SHRE4120,249
A-SHRE4130,259
A-SHRE4140,209
A-SHRE4150,229
A-SHRE5000,37.5
A-SHRE5010,18.75
A-SHRE5030,22.5
A-SHRE5050,74.85
A-SHRE5060,187.85
A-SHRE5062,37.5
A-SHRE5064,15
A-SHRE5065,22.5
A-SHRE5066,37.5
A-SHRE5067,18
A-SHRE5100,22.5
A-SHRE5312,42
A-SHRE5314,85
A-SHRE5316,155
A-SHRE5320,79
A-SHRE5322,95
A-SHRE5324,85
A-SHRE5326,79
A-SHRE5328,155
A-SHRE5330,140
A-SHRE5332,195
A-SHRE6002,49
A-SHRE6004,46
A-SHRE6006,55.6
A-SHRE6008,130
A-SHRE6010,141.5
A-SHRE6012,210
A-SHRE6014,149.6
A-SHRE6016,190.75
A-SHRE6018,88.85
A-SHRE6020,146.25
A-SHRE6060,289.95
A-SHRE7000,29.95
A-SHRE7005,4.95
A-SHRE7010,25.34
A-SHRE7015,33.8
A-SHRE7020,52.37
A-SHRE7025,36.34
A-SHRE7030,54.1
A-SHRE7035,52.54
A-SHRE8100,325
A-SHRE8105,325
A-SHRE8110,325
A-SHRE8115,246
A-SHRE8120,246
A-SHRE8125,246
A-SHRE8130,264
A-SHRE8135,264
A-SHRE8140,264
A-SHRE8145,279
A-SHRE8150,279
A-SHRE8155,279
A-SHRE8200,22.5
A-SHRE9100,159.32
A-SHRE9102,75.22
A-SHRE9106,52.29
A-SHRE9110,79.02
A-SHRE9112,65.43
A-SHRE9115,67.35
A-SHRE9117,106.01
A-SHRE9118,140.78
A-SHRE9120,150.91
A-SHRE9122,53.02
A-SHRE9124,279.9
A-SHRE9126,105.45
A-SHRE9128,105.45
A-SHRE9129,105.45
A-SPA1130,19.99
A-SPA1140,12.99
A-TABB1000,25
A-TABB1001,25
A-TABB1002,35
A-TABB1003,35
A-TABB1005,35
A-TABB1006,45
A-TABB1007,35
A-TABB1008,35
A-TABB1009,45
A-TABB1010,35
A-TABB1011,45
A-TABB1012,45
A-TABB3000,44.95
A-TABB5000,320
A-TABB5005,330
A-TABB5010,375
A-TABB5015,565
A-TABB5020,440
A-TABB5025,400
A-TABB6003,13.75
A-TECH90000,29.99
A-TIME1020,33.95
A-TIME1022,33.95
A-TIME1024,33.95
A-TIME1026,33.95
A-TIME1028,91.25
A-TIME1030,33.95
A-TIME1032,33.95
A-TIME1034,33.95
A-TIME1036,33.95
A-TIME1038,33.95
A-TIME1040,11.75
A-TIME1042,33.95
A-TIME1044,33.95
A-TIME1046,33.95
A-TIME1048,33.95
A-TIME1050,36.95
A-TIME1052,11.25
A-TIME3000,6.5
A-TIME3001,37.25
A-TIME3002,8.25
A-TIME3002-1000,44.5
A-TIME3005,49.95
A-TIME3006,99.9
A-TIME3007,49.95
A-TIME3008,99.9
A-TIME3009,99.9
A-TIME3010,11.75
A-TIME3012,81.75
A-TIME3014,199.75
A-TIME3016,199.75
A-TIME3022,199.75
A-TIME3024,199.75
A-TIME3026,199.75
A-TIME3028,199.75
A-TIME3030,199.75
A-TIME3032,199.75
A-TIME3034,907.75
A-TIME3036,907.75
A-TIME3038,199.75
A-TIME3040,8.25
A-TIME3042,44.5
A-TIME3044,8.25
A-TIME3046,44.5
B-BIND5630B,1731
B-BIND5640A,1626
